id,date,label,text
12,2000-07-23," C-2-2000-07-23 from Turkey/Kenan Tepe/Area C/Trench 2/Locus 2002,","   July 23, 2000   We began by cleaning the trench. We plan to continue excavating L2001 which appears to be a packed mudslide layer. We will also continue excavation of L2002 which we believe contains a wall. One change we plan to make is to contract L2002 so that it contains just the area where we believe the wall is. After digging down about 4 cm in L2001 a scatter of animal bones was found in the southwest corner of the trench. We believe this to be a pit and have designated it L2003. The pit is characterized by loose and darker soil than the surrounding soil. The bones are associated with a small root system in the far southwest corner of the trench.   After excavating L2001 about 10 cm below L2002 (rock alignment and packed soil) we uncovered a fairly symmetrical \platform\ or mudbrick fall. After consultation with Bradley we divided the trench on its north/south axis. We closed L2001 and opened L2004 and L2005 which lie directly beneath L2001. L2004 is the western portion of the trench and L2005 is the eastern portion. We did this so as to not contaminate the \mudbrick fall\ with any other artifacts.   After a section was taken from L2002 (called L2006) Bradley sprayed the baulks, to see any existing mudbrick lines. Nothing definite was found. Our strategy for tomorrow will be to cut the top off of L2002 in order to determine the nature of this deposition. We will also lower L2005 by 10-15 cm to further expose L2002.     ,~: C-2-2000-07-23 from Turkey/Kenan Tepe/Area C/Trench 2/Locus 2002,"
13,2000-07-23," B-1-2000-07-23 from Turkey/Kenan Tepe/Area B/Trench 1/Locus 1003,","   7/23/2000   We began to expand the deep part of locus 1004, (KT#1013-1017) so it would fill one half of the trench (2x4m). Seeing no change within the soil, we continued to expand the deep area into the other half of the trench. All hope seemed to be lost, when one the workmen (Asiz) uncovered a series of rocks running from the South baulk towards the West baulk. It became clear to us that this most likely some sort of foundation and we decided to label it as locus 1005 (KT# 1018-1019)( JPP named the wall-foundations \Asiz_验s Wall\ ). The small area between the wall and the SW-corner became locus 1006 (KT# 1020-1022). After the identification of these loci much of the work was directed into cleaning / leveling the trench. While doing this we uncovered two very small spots of different soil types, one within the wall, which had a yellowish color and the other along the North baulk, which had a grey color very much like the soil around it. These \spots\ seem to be made of coarse sand (very much like the sand we today use for concrete) which was entirely different from the surrounding clay. Adjacent to the East side of the wall foundation, in Locus 1004, was what we thought might be some mudbrick. We took a sample and labeled it KT 1020, we decided that it probably wasn't mudbrick so we dug through the layer and leveled the trench. Along the western baulk (locus 1004) we also found large pieces of pottery, which still sit in situ. They appear to be parts of storage vessels.         ,~: B-1-2000-07-23 from Turkey/Kenan Tepe/Area B/Trench 1/Locus 1003,"
14,2000-07-24," A-1-2000-07-24 from Turkey/Kenan Tepe/Area A/Trench 1/Locus 1003,","   July, 24 2000      It's second day without David, I think I can handle this.... Begin excavating Locus 1005. Took out the intact bone (KT 1031), and made 2 L of soil sample, I tried not to include the soil on top, then excavating further down with brush. I found this method time consuming but turned out to be a excellent choice. Loose soil could be removed by brush, but the compacted soil will remain there. Continued worked for this pit, and found a straight line of compacted soil (Kind of split the pit into two, running along the middle). First I thought the pit was narrowing down, but the line was straight, it turned out to be a pit inthe pit!    While I was cutting down the west wall of the pit (Locus 1004 wall), I found a hard soil in a shape of a pipe. It looked like a pipe, but it may be some animal hole. When I tried to measure the diameter, the accident happened; the possible pipe was destroyed. If I could find the similar  hing\ somewhere else, I will try to be more careful. For the second pit, I assigned a new KT # for the finds.    While I was workig on the pit, I made the workers take down Locus 1006 &amp; 1004. For Locus 1004, We first left the line mud-brick intact. In Locus 1006, we found some human bone concentrated on one area (KT 1034), and nearly complete bowl (KT 1036). Also, found 2 large rocks. In locus 1004, we found concentration of pottery and one bone close to the mud-brick. The soil showed some variation on surface. The wiggling shape locus (1001 &amp; 1002) that we made seems to follow the general looseness of the soil in this trench; this indicate that the soil is disturbed, or we might find several pits here. The mud-brick, seems to me that it is some kind of oven, but the surface is not burnt, so I do not know.   About locus 1005.... We found burial, within the smaller pit in the pit. It tuurned out to be the outline of the pit above was too small, and we have to knock down the wall of the pit. It seems to be a multiple burial. One person was nearly intact, and could follow the outline clearly. however, there was one femur, lined in opposite direction, and found several pieces of bones above. It could be a mass grave site!!!!               ,~: A-1-2000-07-24 from Turkey/Kenan Tepe/Area A/Trench 1/Locus 1003,"
15,2000-07-24," C-2-2000-07-24 from Turkey/Kenan Tepe/Area C/Trench 2/Locus 2002,","   July 24, 2000   We began by excavating the animal bone deposit (L2003). Our plan is to slice the top off our \mudbrick fall\ (L2002) to determine its nature, lower L2005 by 10-15 cm to further expose the mudbrick fall, and then continue excavation.   when we arrived at the site we noticed that some long bones that were protruding from the L2003 yesterday were removed today by looters.   After consulting with Andy we concluded that we had two mudbricks and a possible eroded fallen mud wall. We proceeded to section the trench into quadrants. The mud platform would be leveled to the same depth as L2005 with the exception of the two mud bricks and a rock between them- L2002. We closed 2003 and opened the area beneath it as L2007. L2007 appears to be a layer of fill with some animal bones sticking out. We believe it is the same as L2004. We will dig L2007 sown another 10-15 cm. The eastern half of the trench will be divided into two halves- a north and a south. After taking down L2007 we will proceed to lower L2008- the southeast corner- by 10-15 cm. Hopefully this will illuminate our situation with our mud brick wall.   We divided the trench into quadrants and changed loci. At 12pm we are working with 4 loci(2007, 2008, 2009, 2010) and our mudbricks (2002). We split the trench into quads in order to have greater horizontal control, over this seemingly large fill area.   In L2007 we have uncovered the top of a possible potsmash. We will continue to lower these loci.   As we investigate the section on the east side, we can see some indication of a possible mudbrick construction (some thin red lines separated by a thin white line) but this is very uncertain.     ,~: C-2-2000-07-24 from Turkey/Kenan Tepe/Area C/Trench 2/Locus 2002,"
16,2000-07-25," B-1-2000-07-25 from Turkey/Kenan Tepe/Area B/Trench 1/Locus 1004,","   7/25/2000   We began the day by making a conserted effort to keep up with our notebook. We took bottom elevation on all loci. Then we remeasured the debris of stones/pottery and the west pot smash.We started by digging in the north west area of Locus1007 trying to follow the debris. When we discovered many small stones and some pottery in this area we dug further towards the west baulk and came upon some very soft soil that had no rocks within it. We thought we might have another pit and started a new KT#1042 for pottery and KT# 1043 for bone. About .5 m out from the north baulk we found some mudbrick debris so we isolated that area for futher investigation. We changed the locus along the East baulk to Locus1011 ( at this point JPP felt very tired ) JPP had so far been working on the heap of pot sherds in locus 1011.   Drew came by and helped us prepare the trench for photos, after the photos were taken, we lowered Locus1007 (Easten edge) 5 cm, to search for more of the rocky debris or cobblestone floor. One of the workmen found the time teach us a little Turkish, especially the words small and large.   We continued the search for debris from the west baulk towards the SE-corner. Aziz, while digging, came upon a floor in the NW corner of the 1007-area, and the search began to find more of this floor, we began tracing this (in small chunks) all over Locus1007. We also found another concentration of pot sherds at the Southern part of Locus 1007 which we half heartedly cleaned because we found it so late in the day. Bradley-bay came by to tell us that he thought that the pottery and rock debris in Locus 1007 may have occured before the wall in Locus 1008 was built. This makes sense considering that after we cleaned the wall thoroughly we thought the debris continued under the wall as opposed to being debris from the wall itself. We decided that our next step would be to thoroughly map and draw the trench as it stood as well as trying to find where the debris ended in the trench. We want to lift the rocks from the wall and the floor as soon as possible so that maybe we can find the floor surface beneath.     ,~: B-1-2000-07-25 from Turkey/Kenan Tepe/Area B/Trench 1/Locus 1004,"
17,2000-07-25," C-1-2000-07-25 from Turkey/Kenan Tepe/Area C/Trench 1/Locus 1005,","   July 25, 2000   We have only a rise in the Southeast corner- where we took the pot smashes from yesterday. That is L1005. There was a little reddish dirt when we scrapped on the top just west of the nice rimmed pot. We will flatten 1005 and clean the entire flat trench to look for some change. Where we cleared 1005 on the North side of the current rise (middle of the East side), we have some pot smashes all level, and level with the carbon sample. We removed the carbon sample from L1006, Kt1045. And it's elevation is 92.40. in the L1006 there are some pots, mortar, pestle and there are also some rocks in the western side of these. It may be a surface. We will call it Elvan's Kitchen. We will level the SE corner and we will check if there is pottery under that part. In the SE side we found some more pieces of the nice rimmed pot that we took out yesterday (KT1042,L1004). We saw a little white plaster but it doesn't look like a line. And we are digging the NW quarter of the trench (15-20cm).   We have started digging the Northwest corner again, we first dropped 10cm and then another 10. We need to level the whole West (downhill side) and then clean it.   We have almost brought the Southeast side down to level. That means 1005 will soon disappear.   The Northwest corner is 1007. The only thing we have removed so far is the carbon sample. We have found the nice bottom of the nice rimmed pot a little Southwest of the previous piece. We also found another piece Northeast of it. We continue to level the Southeast. Also we are continuing South on the West side to level it all the way across.   We found another piece of sandstone as we found in the rock garden in the SW side of the trench.   We continue, we have to take a lot of dirt out of the West side. There doesn't seem to be much, but there has been some more of those white flakes. Perhaps it is more of what we see in 1005. We are now sweeping the East side of the trench. With that white material, and pot smash and some rocks. We need a photo!     ,~: C-1-2000-07-25 from Turkey/Kenan Tepe/Area C/Trench 1/Locus 1005,"
18,2000-07-25," A-2-2000-07-25 from Turkey/Kenan Tepe/Area A/Trench 2/Locus 2000,","   July 25, 2000      We started the day by cleaning up the north section of the trench and taking a million elevations. Set upthe next step downhill as a 2m x 2m but we will not dig there yet. We had to use a 2m rod with 6m of string attached and a plumb bob to run the lines downhill because of the sharp incline. There may be some minor error in the alighnment, but the square measures2m on each side fairlypreciselydespite all.      First we dug down the formerlylevel floor of the trench on the north side, starting at 1m from the south baulk and extending out to the north edge. We dug down 25 cm, took elevations. We called this L2002 because it is still a sub-topsoil layer.      Then we dug down the SW section below L2003 of our former 3m x 2m trenchand assigned a new locus 2004 because we believe we had hit a floor at the base of 2003. The soil in 2004 was very hard packed compared to what we had come across thusfar. We pulled out a flat stone (for bread?), several pig (?) bones and some nice pot sherds.      Next we dug down the north section as locus 2005 which is equivalent to 2002 sub-topsoil layer so that our loci numbers would work correctly. This section begins 150 cm from the south baulk and extends to the northern edge. We dug down circa 25 cm. This section was fill, loose sub-topsoil with some stones but not as many stones as the 2002 section between the south baulkand the 2meter pin.        ,~: A-2-2000-07-25 from Turkey/Kenan Tepe/Area A/Trench 2/Locus 2000,"
19,2000-07-25," C-2-2000-07-25 from Turkey/Kenan Tepe/Area C/Trench 2/Locus 2002,","   July 25, 2000   Today we will need to get elevations for L2010. We will then proceed to excavate the quadrants beginning with L2009 then going on to L2010. The depths of the east and west halves of the trench will be staggered into a steplike configuration with loci 2007 and 2009 being deeper than loci 2008 and 2010. By doing this we hope to determine if the mudbricks we have unearthed are at the top of a wall and by going deeper we can uncover it.   After consulting with Bradley we decided to level L2010 to the same depth as L2008. Then we will take a section of L2002 to see if the fallen mudbrick wall is more apparent. After that we will consult with Bradley again. In L2002 there are a few clumps of pottery, a couple of which look articulated.   After consulting Andy we decided that we definitely had a three tier mud brick wall, but we weren't sure where it went. We decided to take L2009 down by 20cm because it seemed fairly empty . Though we are keeping our eyes open for pits. We will trowel down the edges of L2008 and L2010 as well as the bottom in the hopes of better defining our mudbrick will.   After going down on L2009 we came across a deposit of ash- an oven. To define the area of the oven we took out a smashed pot in L2007 and renamed it L2011. We will now go sown on L2007 to help define the oven. We continue to level and trowel L2008 and L2010 to define the limits of our mudbrick wall.     ,~: C-2-2000-07-25 from Turkey/Kenan Tepe/Area C/Trench 2/Locus 2002,"
20,2000-07-26," B-2-2000-07-26 from Turkey/Kenan Tepe/Area B/Trench 2/Locus 2003,","   July 26, 2000      We began by sweeping the trench really, really well for a publishable photo of our floor. This took about 2 hours and was quite tedious.       After the photos we noticed that the south eastern corner of the trench seemed to be a different color and texture from the surrounding soil. The section seems to indicate a change as well. I have designated it a pit and given it L-2009. The color was matched to Munsell's \gray 6/1\. Other than ascertaining these few facts this new locus was left alone for the rest of the day.      Phil was feeling very sick and went home after breakfast. I toil alone.      I dug 15cm in southern half of L-2005. The area seems to be simply wash from hillside erosion so I felt that 15cm was justified without fear of tearing up the floor from L-2007 that doesn't seem to exist on that side of the trench.      I also took a section around L-2004 down about 10 cm. I am trying to determine if the red stain extends below the surface layer. After the section is cut precisely around the circle we will cut the circle in half and see what lies within.      I also took elevations for the rocks that surround the pot smash.      I finally took out the pot smash today. The area surrounding it was to the a point 4-5cm under where the pot rested so it was not needed for context anymore. Additionally we were worried that someone might mess with it since its been in there for a few days and lots of people know about it. Since we have a free day tomorrow and will be out of town, out came the pot. The dirt inside was gven L-2010 and it was all saved (KT#'s 2041 &amp; 2042) for a floatiation sample. Some pot sherds that were found yesterday in the rocks surrounding the pot were at roughly the same elevation as the bottom of the pot. (Pot 96.36 Unarticulated sherds 96.38) These sherds were given KT#2039 and were marked as a possible mend with the potsmash.     ,~: B-2-2000-07-26 from Turkey/Kenan Tepe/Area B/Trench 2/Locus 2003,"
21,2000-07-26," C-1-2000-07-26 from Turkey/Kenan Tepe/Area C/Trench 1/Locus 1006,","   July 26, 2000   We are cutting the section in the middle of the trench and we are looking for lines and we saw the white material in the North side of the trench for the first time. But as with the South Side, these white pieces are not forming a line which would indicate some sort of architecture.   We decided to dig the higher part of L1007 in the middle so we will have a section. And then we will remove the rest.   We found a piece of teeth in the section in the middle, it might be an animal bone buried there or related with the surface (Elvan's kitchen).   We cleaned the West surface and began a probe from there heading East to the middle of the nice-rimmed pot and Elvan's kitchen. Also, in the very Northwest corner, there are some bones and loose soil which we will open as L1008, a pit.   I removed a large piece of pottery about half way down the probe, 10cm below the surface of the kitchen.   In the probe we found some rocks at the level of the West side of the trench. They look like they are a circle. And some cobbles also.   We found some white chalk-like particles in the Northern side of the middle section. We opened a new locus 1008, we thought there was a pit but we couldn't find too much pottery or bones in it. It was obvious that it was loose.   We are now cutting 1007, from the probe to the South side. We will try to find the rest of Peter's pot. Before breakfast we thought there was some mud brick in the NW part but we couldn't see the edges. There were some lines but probably they were because of the roots.   We have a bunch of so-so stuff and it is hard to put it all together. The rock circle seems promising as the dirt in the wall above it is very pebbly. The kitchen even seems to form a circle. I found some ash in the Southwest corner, but we have no facilities to remove it.        ,~: C-1-2000-07-26 from Turkey/Kenan Tepe/Area C/Trench 1/Locus 1006,"
22,2000-07-26," A-2-2000-07-26 from Turkey/Kenan Tepe/Area A/Trench 2/Locus 2000,","   July 26, 2000      Todaywe got a 3rd workman so we could bust thru more topsoil. We started moving topsoil as L2000 from the northern-most 2m x 2m square that we had measured off yesterday. We used the floor of L2005 at the 3m pin from the south baulk as the reference to dig out L2000 so that its floor would be on the same elevation level as 2005.      Simultaneously we took off the SE corner (1m x 1m x 25cm section of 2004 east) which had the burn marks and potteryon the floor and in the baulk (see  p.5 July 24). Once that 1m x 1m was removed, L2004 was a \flat\ surface extending 150 cm from the south baulk.      Then we straightened the baulks with a plumb bob and levels.      While that was happening, we had the workers cut the northern edge of the step corresponding to the 3m pin--first 50cm north of the pin as L2000, on the east side only (leaving the west side [ie., 1m wide] so Bradley and Andy can see the section/stratigrahy). Then we cut thesection 35cm south of the 3m pin on the east side as L2005. This split was made so that there would be no contradiction between this layer of locus and the loci above it that meet at the 3m pin.      Then because we had a little time left, we had the workers take out the L2000 section off the west 1m up to the 3m pin. We will take out the small 1m wide x 35cm long section of 2005 on Friday (perhaps?).      Locus 2000  loose topsoil mixed slope debris, not as manyrocks as the southern sections of the trench topsoil ad subtopsoil.      Locus 2004 SE corner  hardpack soil with several bones and sherds, some mudbrick chunks but not as much as SW corner. Baulk shows burn marks several cm above the current floor.        ,~: A-2-2000-07-26 from Turkey/Kenan Tepe/Area A/Trench 2/Locus 2000,"
23,2000-07-26," A-1-2000-07-26 from Turkey/Kenan Tepe/Area A/Trench 1/Locus 1005,","   July 26, 2000      Today, I begin working with taking off the balk of 1010. I found some hard compacted mud-brick. It seems to be following the rocks. The workers excavated the locus 1009 (NW section). They found some bones scattered around, and found a skull directly below the mud-brick that we found in 1004. The skull was small and thin, possibly a baby or an animal. also beside this skull we found possible human finger, not related to the skull (finger was for fully mature adult). Also, foud a mandible of some animal that seems to be baked (was black color). Also, we cleared the locus 1008 (South half of the unit). The pit that we found previously was more clearly defined , and compacted sand was a mud-brick. It probably represent surface. We had to make several new locus. See plan map for detail. The rocks, within the rocks, pit, floor area, and also an oven near West wall. The soil contained dark ash, some red bricks and burned bricks. We decide to make this oven locus larger, to include the ash layer. The soil was loose at the SW corner, and found some animal bone, this will be another locus.     The NW section gave me a hard time to clearly define the limit of the floor or a pit. There was a clear line of possible mud-brick surrounding the skull. The finger bone south of the skull was in loose layer of sand. At the center of the unit was some orangish soil, also, there seems to be some pit around this discoloration. The burial pit extends to this locus, but had the mud brik line above this. We will scrape this area more carefully and see what's going on to make more new loci!            ,~: A-1-2000-07-26 from Turkey/Kenan Tepe/Area A/Trench 1/Locus 1005,"
